Team,TeamRating,TeamRank
1,12010,1
40,11280,2
64,10700,3
56,9980,4
9,9120,5
48,8320,6
25,7720,7
13,7645,8
17,7535,9
52,7315,10
36,7208,11
60,7035,12
5,6540,13
18,6320,14
29,5581,15
11,4725,16
44,4480,17
33,4465,18
21,4452,19
47,4180,20
49,4173,21
4,3658,22
58,3595,23
24,3533,24
42,3415,25
38,3285,26
45,3136,27
30,2923,28
41,2886,29
28,2759,30
22,2753,31
61,2622,32
8,2576,33
20,2565,34
3,2548,35
39,2452,36
43,2334,37
23,2223,38
34,2158,39
50,2071,40
27,2030,41
31,1916,42
62,1865,43
14,1855,44
59,1555,45
35,1338,46
2,1043,47
53,972,48
16,790,49
51,700,50
12,675,51
19,675,52
37,638,53
63,501,54
26,420,55
10,360,56
55,332,57
15,305,58
6,300,59
7,299,60
57,270,61
46,125,62
54,25,63
32,0,64
