Team1,Team2,SetT1,SetT2
1,33,3,1
2,34,3,0
3,35,3,1
4,36,3,0
5,37,3,0
6,38,1,3
7,39,1,3
8,40,0,3
9,41,3,2
10,42,1,3
11,43,3,1
12,44,3,2
13,45,2,3
14,46,3,0
15,47,1,3
16,48,0,3
17,49,3,0
18,50,3,1
19,51,0,3
20,52,0,3
21,53,3,0
22,54,3,0
23,55,0,3
24,56,0,3
25,57,3,0
26,58,0,3
27,59,3,1
28,60,0,3
29,61,3,2
30,62,3,0
31,63,2,3
32,64,0,3
1,2,3,1
3,4,2,3
5,38,3,1
39,40,1,3
9,42,2,3
11,12,3,2
45,14,3,0
47,48,1,3
17,18,3,2
51,52,0,3
21,22,3,0
55,56,0,3
25,58,3,0
27,60,0,3
29,30,1,3
63,64,1,3
1,4,3,1
5,40,3,1
42,11,1,3
45,48,3,0
17,52,3,2
21,56,0,3
25,60,3,1
30,64,0,3
1,5,1,3
11,45,0,3
17,56,2,3
25,64,2,3
5,45,3,0
56,64,1,3
5,64,2,3
