Player,Doubles_rating,Rank
M. Bryan,8770,1
L. Kubot,6140,2
M. Melo,5870,4
J. Cabal,5350,5
R. Farah,5350,5
B. Soares,5210,7
J. Murray,5085,8
R. Klaasen,5080,9
M. Venus,4900,10
N. Mektic,4590,11
H. Zeballos,4085,12
N. Mahut,3950,13
J. Rojer,3950,14
H. Kontinen,3915,15
M. Pavic,3910,16
H. Tecau,3770,17
O. Marach,3750,18
J. Salisbury,3735,19
F. Skugor,3730,20
P. Herbert,3680,21
J. Peers,3620,22
K. Krawietz,3604,23
A. Mies,3604,24
R. Ram,3580,25
W. Koolhof,3015,26
M. Gonzalez,2950,27
F. Martin,2786,29
E. Roger-Vasselin,2590,30
N. Skupski,2560,31
B. Bryan,2510,32
R. Haase,2440,33
B. McLachlan,2380,34
D. Inglot,2370,35
M. Granollers,2330,36
J. Sousa,2160,37
A. Krajicek,2110,38
I. Dodig,2100,39
J. Struff,2085,40
F. Nielsen,2012,41
S. Gonzalez,1925,42
D. Sharan,1910,44
M. Middelkoop,1900,45
K. Skupski,1855,46
A. Sitak,1855,47
J. Melzer,1831,48
L. Bambridge,1800,49
R. Bopanna,1795,50
M. Demoliner,1748,51
J. O'Mara,1733,52
M. Daniell,1710,53
R. Jebavy,1648,54
G. Pella,1575,56
F. Lopez,1535,57
N. Jarry,1495,58
A. Qureshi,1490,59
A. Molteni,1488,60
J. Vliegen,1444,61
R. Albot,1440,62
R. Lindstedt,1405,63
C-P. Hsieh,1364,64
D. Molchanov,1294,66
I. Zelenay,1282,67
P. Oswald,1275,68
C. Rungkat,1258,69
M. Arevalo,1254,70
T. Puetz,1240,71
L. Paes,1228,73
G. Duran,1223,74
M. Reyes-Varela,1198,75
J. Nedunchezhiyan,1150,77
M. Jaziri,1125,78
L. Mayer,1125,79
S. Gille,1104,81
P. Raja,1073,82
L. Saville,1061,83
F. Polasek,1036,84
M. Purcell,1010,88
S. Arends,986,89
M. Reid,953,91
G. Granollers,936,92
M. Zverev,935,93
R. Arneodo,927,94
N. Monroe,920,95
J. Erlich,904,96
J-P. Smith,898,97
H. Nys,809,107
M. Ebden,700,114
B. Paire,688,116
D. Lajovic,675,119
F. Delbonis,670,120
P. Cuevas,539,142
A. Murray,500,148
P. Carreno Busta,495,150
S. Clayton,428,163
J. Tipsarevic,360,179
M. Kukushkin,360,180
J. Munar,360,181
C. Norrie,315,196
R. Carballes Baena,315,197
H. Dellien,290,208
D. Evans,254,224
J. Thompson,242,227
M. Copil,225,235
L. Broady,210,249
M. Fucsovics,180,260
A. Seppi,180,261
L. Harris,164,268
A. Bublik,141,285
C. Ruud,135,288
J. Londero,115,309
L. Sonego,105,319
E. Hoyt,96,333
R. Berankis,90,346
L. Hewitt,90,355
A. De. Minaur,90,356
M. Cecchinato,90,359
U. Humbert,80,376
C. Garin,60,421
L. Glasspool,46,452
D. Dzumhur,45,466
L. Johnson,29,544
J. Ward,25,551
L. Djere,0,.
P. Jubb,0,.
V. Pospisil,0,.
F. Krajinovic,0,.
J. Clarke,0,.
J. Draper,0,.
